topic,difficulty,correct,date
Problem-Solving and Data Analysis/One-variable data,h,True,2025-02-07 09:28:36
Problem-Solving and Data Analysis/One-variable data,h,True,2025-02-07 09:28:37
Problem-Solving and Data Analysis/One-variable data,h,True,2025-02-07 09:28:38
Algebra/Linear functions,h,True,2025-02-07 09:28:39
Algebra/Linear functions,h,True,2025-02-07 09:28:40
Algebra/Linear functions,h,True,2025-02-07 09:28:41
Algebra/Linear functions,h,True,2025-02-07 09:28:42
Algebra/Linear functions,h,True,2025-02-07 09:28:43
Algebra/Linear functions,h,True,2025-02-07 09:28:44
Algebra/Linear functions,h,False,2025-02-07 09:28:45
Algebra/Linear functions,h,True,2025-02-07 09:28:46
Algebra/Linear functions,h,True,2025-02-07 09:28:47
Algebra/Linear functions,h,True,2025-02-07 09:28:48
Algebra/Systems of two linear equations,h,True,2025-02-07 09:27:45
Algebra/Systems of two linear equations,h,True,2025-02-07 09:27:46
Algebra/Systems of two linear equations,h,True,2025-02-07 09:27:47
Algebra/Systems of two linear equations,h,True,2025-02-07 09:27:48
Algebra/Systems of two linear equations,h,True,2025-02-07 09:27:49
Algebra/Systems of two linear equations,h,True,2025-02-07 09:27:50
Algebra/Systems of two linear equations,h,False,2025-02-07 09:27:51
Algebra/Systems of two linear equations,h,True,2025-02-07 09:27:52
Algebra/Systems of two linear equations,h,True,2025-02-07 09:27:53
Algebra/Systems of two linear equations,h,True,2025-02-07 09:27:54
Advanced Math/Nonlinear equations,h,True,2025-02-07 09:28:00
Advanced Math/Nonlinear equations,h,True,2025-02-07 09:28:01
Advanced Math/Nonlinear equations,h,True,2025-02-07 09:28:02
Advanced Math/Nonlinear equations,h,True,2025-02-07 09:28:03
Advanced Math/Nonlinear equations,h,True,2025-02-07 09:28:04
Advanced Math/Nonlinear equations,h,False,2025-02-07 09:28:05
Advanced Math/Nonlinear equations,h,True,2025-02-07 09:28:06
Advanced Math/Nonlinear equations,h,True,2025-02-07 09:28:07
Advanced Math/Nonlinear equations,h,True,2025-02-07 09:28:08
Advanced Math/Nonlinear equations,h,True,2025-02-07 09:28:09
Information and Ideas/Central Ideas and Details,h,True,2025-02-07 09:28:10
Information and Ideas/Central Ideas and Details,h,True,2025-02-07 09:28:11
Information and Ideas/Central Ideas and Details,h,True,2025-02-07 09:28:12
Information and Ideas/Central Ideas and Details,h,True,2025-02-07 09:28:13
Algebra/Linear equations in one variable,h,True,2025-02-07 09:28:14
Algebra/Linear equations in one variable,h,True,2025-02-07 09:28:15
Algebra/Linear equations in one variable,h,True,2025-02-07 09:28:16
Algebra/Linear equations in one variable,h,True,2025-02-07 09:28:17
Algebra/Linear equations in one variable,h,True,2025-02-07 09:28:18
Algebra/Linear equations in one variable,h,True,2025-02-07 09:28:19
Algebra/Linear equations in one variable,h,True,2025-02-07 09:28:20
Algebra/Linear equations in one variable,h,True,2025-02-07 09:28:21
Algebra/Linear equations in one variable,h,True,2025-02-07 09:28:22
Advanced Math/Equivalent expressions,h,True,2025-02-07 09:28:23
Advanced Math/Equivalent expressions,h,True,2025-02-07 09:28:24
Advanced Math/Equivalent expressions,h,True,2025-02-07 09:28:25
Advanced Math/Equivalent expressions,h,True,2025-02-07 09:28:26
Advanced Math/Equivalent expressions,h,True,2025-02-07 09:28:27
Advanced Math/Equivalent expressions,h,True,2025-02-07 09:28:28
Advanced Math/Equivalent expressions,h,True,2025-02-07 09:28:29
Advanced Math/Equivalent expressions,h,True,2025-02-07 09:28:30
Advanced Math/Equivalent expressions,h,True,2025-02-07 09:28:31
Advanced Math/Equivalent expressions,h,True,2025-02-07 09:28:32
Problem-Solving and Data Analysis/Ratios and rates,h,True,2025-02-07 09:28:33
Problem-Solving and Data Analysis/Ratios and rates,h,True,2025-02-07 09:28:34
Problem-Solving and Data Analysis/Ratios and rates,h,True,2025-02-07 09:28:35
Problem-Solving and Data Analysis/Ratios and rates,h,True,2025-02-07 09:28:36
Problem-Solving and Data Analysis/Ratios and rates,h,True,2025-02-07 09:28:37
Problem-Solving and Data Analysis/Ratios and rates,h,True,2025-02-07 09:28:38
Problem-Solving and Data Analysis/Percentages,h,True,2025-02-07 09:28:39
Problem-Solving and Data Analysis/Evaluating statistical claims,h,True,2025-02-07 09:28:40
Problem-Solving and Data Analysis/Evaluating statistical claims,h,True,2025-02-07 09:28:41
Problem-Solving and Data Analysis/Evaluating statistical claims,h,True,2025-02-07 09:28:42
Problem-Solving and Data Analysis/Evaluating statistical claims,h,True,2025-02-07 09:28:43
Problem-Solving and Data Analysis/Evaluating statistical claims,h,True,2025-02-07 09:28:44
Geometry and Trigonometry/Area and volume,h,True,2025-02-07 09:28:45
Geometry and Trigonometry/Area and volume,h,True,2025-02-07 09:28:46
Geometry and Trigonometry/Area and volume,h,True,2025-02-07 09:28:47
Geometry and Trigonometry/Area and volume,h,True,2025-02-07 09:28:48
Geometry and Trigonometry/Area and volume,h,True,2025-02-07 09:28:49
Geometry and Trigonometry/Area and volume,h,True,2025-02-07 09:28:50
Geometry and Trigonometry/Area and volume,h,True,2025-02-07 09:28:51
Geometry and Trigonometry/Area and volume,h,True,2025-02-07 09:28:52
Geometry and Trigonometry/Right triangles and trigonometry,h,True,2025-02-07 09:28:53
Geometry and Trigonometry/Right triangles and trigonometry,h,True,2025-02-07 09:28:54
Geometry and Trigonometry/Right triangles and trigonometry,h,True,2025-02-07 09:28:55
Geometry and Trigonometry/Right triangles and trigonometry,h,False,2025-02-07 09:28:56
Geometry and Trigonometry/Right triangles and trigonometry,h,True,2025-02-07 09:28:57
Geometry and Trigonometry/Right triangles and trigonometry,h,True,2025-02-07 09:28:58
Geometry and Trigonometry/Right triangles and trigonometry,h,False,2025-02-07 09:28:59
Geometry and Trigonometry/Right triangles and trigonometry,h,False,2025-02-07 09:29:00
Geometry and Trigonometry/Right triangles and trigonometry,h,True,2025-02-07 09:29:01
Geometry and Trigonometry/Circles,h,False,2025-02-07 10:12:10
Geometry and Trigonometry/Circles,h,True,2025-02-07 10:12:11
Geometry and Trigonometry/Circles,h,True,2025-02-07 10:12:12
Geometry and Trigonometry/Circles,h,True,2025-02-07 10:12:13
Geometry and Trigonometry/Circles,h,True,2025-02-07 10:12:14
Geometry and Trigonometry/Circles,h,True,2025-02-07 10:12:15
Geometry and Trigonometry/Circles,h,True,2025-02-07 10:12:16
Geometry and Trigonometry/Circles,h,True,2025-02-07 10:12:17
Geometry and Trigonometry/Circles,h,True,2025-02-07 10:12:18
Geometry and Trigonometry/Circles,h,True,2025-02-07 10:12:19
Geometry and Trigonometry/Circles,h,True,2025-02-07 10:12:20
Algebra/Linear inequalities in one or two variables,h,True,2025-02-07 18:03:19
Craft and Structure/Words in Context,h,False,2025-02-08 09:48:45
Craft and Structure/Words in Context,m,True,2025-02-08 09:48:46
Craft and Structure/Words in Context,h,False,2025-02-08 09:52:47
Craft and Structure/Words in Context,h,False,2025-02-08 10:01:23
Craft and Structure/Words in Context,h,True,2025-02-08 10:01:26
Craft and Structure/Words in Context,h,True,2025-02-08 10:01:28
Craft and Structure/Words in Context,h,True,2025-02-08 10:01:30
Craft and Structure/Text Structure and Purpose,h,True,2025-02-08 10:02:18
Craft and Structure/Text Structure and Purpose,h,True,2025-02-08 10:02:21
Craft and Structure/Text Structure and Purpose,h,True,2025-02-08 10:02:25
Craft and Structure/Text Structure and Purpose,h,True,2025-02-08 10:02:29
Craft and Structure/Cross-Text Connections,h,True,2025-02-08 10:03:14
Craft and Structure/Cross-Text Connections,h,True,2025-02-08 10:03:20
Craft and Structure/Cross-Text Connections,h,True,2025-02-08 10:03:24
Information and Ideas/Central Ideas and Details,h,True,2025-02-08 10:06:59
Information and Ideas/Central Ideas and Details,h,True,2025-02-08 10:07:00
Information and Ideas/Central Ideas and Details,h,True,2025-02-08 10:07:02
Information and Ideas/Central Ideas and Details,h,True,2025-02-08 10:07:03
Algebra/Linear inequalities in one or two variables,h,True,2025-02-08 10:33:46
Algebra/Linear inequalities in one or two variables,h,False,2025-02-08 10:49:04
Algebra/Linear inequalities in one or two variables,h,True,2025-02-08 10:56:54
Algebra/Linear inequalities in one or two variables,h,False,2025-02-08 11:32:06
Algebra/Linear inequalities in one or two variables,h,True,2025-02-08 11:33:23
Algebra/Linear inequalities in one or two variables,h,True,2025-02-08 11:33:50
Algebra/Linear inequalities in one or two variables,h,True,2025-02-08 11:35:05
Algebra/Linear inequalities in one or two variables,h,True,2025-02-08 11:36:32
Algebra/Linear inequalities in one or two variables,h,True,2025-02-08 11:38:10
Algebra/Linear inequalities in one or two variables,h,True,2025-02-08 13:02:35
Algebra/Linear equations in one variable,h,True,2025-02-08 13:04:44
Algebra/Linear equations in two variables,m,True,2025-02-08 17:20:23
Algebra/Linear equations in two variables,m,False,2025-02-08 17:20:50
Algebra/Linear equations in two variables,h,True,2025-02-08 17:22:19
Algebra/Linear equations in two variables,h,True,2025-02-08 17:23:14
Algebra/Linear equations in two variables,h,True,2025-02-08 17:24:29
Algebra/Linear equations in two variables,h,True,2025-02-08 17:25:31
Algebra/Linear equations in two variables,h,False,2025-02-08 17:26:12
Algebra/Linear equations in two variables,h,True,2025-02-08 17:27:28
Algebra/Linear equations in two variables,h,True,2025-02-08 17:28:30
Algebra/Linear equations in two variables,h,True,2025-02-08 17:29:14
Algebra/Linear equations in two variables,h,True,2025-02-08 17:30:19
Algebra/Linear equations in two variables,h,True,2025-02-08 17:31:56
Geometry and Trigonometry/Right triangles and trigonometry,h,True,2025-02-11 09:04:03
Geometry and Trigonometry/Right triangles and trigonometry,h,True,2025-02-11 09:04:06
Geometry and Trigonometry/Right triangles and trigonometry,h,True,2025-02-11 09:15:54
Information and Ideas/Command of Evidence(Quantitative),h,True,2025-02-11 14:15:57
Information and Ideas/Command of Evidence(Quantitative),h,False,2025-02-11 14:18:41
Information and Ideas/Command of Evidence(Quantitative),h,True,2025-02-11 14:28:46
Information and Ideas/Command of Evidence(Quantitative),h,True,2025-02-11 14:31:30
Information and Ideas/Command of Evidence(Quantitative),h,True,2025-02-11 14:36:00
Information and Ideas/Command of Evidence(Quantitative),h,True,2025-02-11 14:46:18
Information and Ideas/Command of Evidence(Quantitative),h,True,2025-02-11 14:48:55
Information and Ideas/Command of Evidence(Quantitative),h,False,2025-02-11 14:58:53
Information and Ideas/Command of Evidence(Quantitative),h,True,2025-02-11 15:04:15
Information and Ideas/Command of Evidence(Quantitative),h,True,2025-02-11 15:05:47
Information and Ideas/Command of Evidence(Quantitative),h,True,2025-02-11 15:07:15
Information and Ideas/Command of Evidence (Textual),h,True,2025-02-12 10:14:34
Information and Ideas/Command of Evidence (Textual),h,False,2025-02-12 10:44:06
Information and Ideas/Command of Evidence (Textual),h,True,2025-02-12 10:49:49
Information and Ideas/Command of Evidence (Textual),h,True,2025-02-12 12:21:50
Information and Ideas/Command of Evidence (Textual),h,False,2025-02-12 12:28:23
Information and Ideas/Command of Evidence (Textual),h,True,2025-02-12 12:31:19
Information and Ideas/Command of Evidence (Textual),h,False,2025-02-12 12:39:07
Information and Ideas/Command of Evidence (Textual),h,True,2025-02-12 14:06:28
Information and Ideas/Command of Evidence (Textual),h,True,2025-02-12 14:10:14
Algebra/Linear inequalities in one or two variables,h,True,2025-02-12 14:14:14
Algebra/Linear inequalities in one or two variables,h,True,2025-02-12 14:28:43
Craft and Structure/Words in Context,m,True,2025-02-13 19:29:38
Craft and Structure/Words in Context,m,True,2025-02-13 19:29:39
Craft and Structure/Words in Context,m,True,2025-02-13 19:29:40
Craft and Structure/Words in Context,m,True,2025-02-13 19:29:40
Craft and Structure/Text Structure and Purpose,m,True,2025-02-13 19:30:27
Craft and Structure/Text Structure and Purpose,m,True,2025-02-13 19:30:43
Craft and Structure/Text Structure and Purpose,m,True,2025-02-13 19:30:48
Craft and Structure/Cross-Text Connections,m,True,2025-02-13 19:34:28
Information and Ideas/Central Ideas and Details,m,True,2025-02-13 19:34:50
Information and Ideas/Command of Evidence(Quantitative),m,True,2025-02-13 19:35:07
Information and Ideas/Command of Evidence (Textual),m,True,2025-02-13 19:35:21
Information and Ideas/Command of Evidence(Quantitative),m,True,2025-02-13 19:36:06
Information and Ideas/Command of Evidence (Textual),m,False,2025-02-13 19:36:17
Information and Ideas/Inferences,m,True,2025-02-13 19:37:33
Information and Ideas/Inferences,m,True,2025-02-13 19:37:34
Standard English Conventions/Boundaries,m,True,2025-02-13 19:38:02
"Standard English Conventions/Form, Structure, and Sense",m,True,2025-02-13 19:39:11
"Standard English Conventions/Form, Structure, and Sense",m,True,2025-02-13 19:39:21
"Standard English Conventions/Form, Structure, and Sense",m,True,2025-02-13 19:39:30
"Standard English Conventions/Form, Structure, and Sense",m,True,2025-02-13 19:39:37
Standard English Conventions/Boundaries,m,True,2025-02-13 19:39:50
Expression of Ideas/Transitions,m,True,2025-02-13 19:40:05
Expression of Ideas/Transitions,m,True,2025-02-13 19:40:19
Expression of Ideas/Transitions,m,True,2025-02-13 19:40:20
Expression of Ideas/Rhetorical Synthesis,m,True,2025-02-13 19:40:47
Expression of Ideas/Rhetorical Synthesis,m,True,2025-02-13 19:40:51
Craft and Structure/Words in Context,h,True,2025-02-13 19:41:03
Craft and Structure/Words in Context,h,True,2025-02-13 19:41:08
Craft and Structure/Words in Context,h,True,2025-02-13 19:41:13
Craft and Structure/Words in Context,h,True,2025-02-13 19:41:29
Craft and Structure/Text Structure and Purpose,h,True,2025-02-13 19:41:58
Craft and Structure/Text Structure and Purpose,h,False,2025-02-13 19:42:06
Information and Ideas/Central Ideas and Details,h,True,2025-02-13 19:43:13
Information and Ideas/Central Ideas and Details,h,False,2025-02-13 19:43:21
Information and Ideas/Central Ideas and Details,h,True,2025-02-13 19:43:38
Information and Ideas/Command of Evidence (Textual),h,True,2025-02-13 19:43:48
Information and Ideas/Command of Evidence(Quantitative),h,True,2025-02-13 19:43:58
Information and Ideas/Command of Evidence (Textual),h,True,2025-02-13 19:44:08
Information and Ideas/Command of Evidence(Quantitative),h,True,2025-02-13 19:44:19
Information and Ideas/Inferences,h,True,2025-02-13 19:45:01
"Standard English Conventions/Form, Structure, and Sense",h,True,2025-02-13 19:48:11
Standard English Conventions/Boundaries,h,True,2025-02-13 19:48:24
Standard English Conventions/Boundaries,h,True,2025-02-13 19:48:29
Standard English Conventions/Boundaries,h,True,2025-02-13 19:48:35
"Standard English Conventions/Form, Structure, and Sense",h,True,2025-02-13 19:48:45
"Standard English Conventions/Form, Structure, and Sense",h,True,2025-02-13 19:48:50
Expression of Ideas/Transitions,h,True,2025-02-13 19:48:57
Expression of Ideas/Transitions,h,True,2025-02-13 19:49:12
Expression of Ideas/Transitions,h,False,2025-02-13 19:49:14
Expression of Ideas/Transitions,h,True,2025-02-13 19:49:23
Expression of Ideas/Rhetorical Synthesis,h,True,2025-02-13 19:49:38
Expression of Ideas/Rhetorical Synthesis,h,True,2025-02-13 19:49:42
Expression of Ideas/Rhetorical Synthesis,h,True,2025-02-13 19:49:46
Advanced Math/Equivalent expressions,e,True,2025-02-13 19:52:23
Problem-Solving and Data Analysis/Inference from sample statistics,m,True,2025-02-13 19:52:45
Advanced Math/Equivalent expressions,m,True,2025-02-13 19:53:02
Problem-Solving and Data Analysis/Two-variable data,m,True,2025-02-13 19:53:42
Problem-Solving and Data Analysis/Percentages,m,True,2025-02-13 19:54:23
Advanced Math/Equivalent expressions,m,True,2025-02-13 19:54:43
Advanced Math/Nonlinear equations,m,True,2025-02-13 19:55:11
Advanced Math/Nonlinear equations,m,True,2025-02-13 19:55:44
Algebra/Linear equations in two variables,m,True,2025-02-13 19:56:11
Advanced Math/Nonlinear equations,m,True,2025-02-13 19:57:43
Problem-Solving and Data Analysis/One-variable data,m,True,2025-02-13 20:00:57
Geometry and Trigonometry/Area and volume,m,True,2025-02-13 20:04:43
Problem-Solving and Data Analysis/Two-variable data,m,True,2025-02-13 20:05:13
Geometry and Trigonometry/Right triangles and trigonometry,m,True,2025-02-13 20:05:19
Advanced Math/Nonlinear equations,m,True,2025-02-13 20:05:29
"Geometry and Trigonometry/Lines, angles, and triangles",m,True,2025-02-13 20:05:37
Advanced Math/Nonlinear functions,m,True,2025-02-13 20:05:43
Problem-Solving and Data Analysis/Percentages,m,True,2025-02-13 20:07:45
Geometry and Trigonometry/Circles,m,True,2025-02-13 20:07:49
Problem-Solving and Data Analysis/Ratios and rates,h,True,2025-02-13 20:07:56
"Geometry and Trigonometry/Lines, angles, and triangles",h,True,2025-02-13 20:08:00
Algebra/Linear inequalities in one or two variables,h,True,2025-02-13 20:08:17
Algebra/Linear functions,h,True,2025-02-13 20:08:24
Algebra/Linear inequalities in one or two variables,h,True,2025-02-13 20:08:30
Advanced Math/Nonlinear functions,h,True,2025-02-13 20:08:37
Algebra/Linear functions,h,True,2025-02-13 20:08:41
Algebra/Linear equations in two variables,h,True,2025-02-13 20:08:48
Advanced Math/Nonlinear equations,h,True,2025-02-13 20:10:42
Algebra/Linear equations in two variables,h,True,2025-02-13 20:11:25
Algebra/Systems of two linear equations,h,True,2025-02-13 20:11:34
Algebra/Systems of two linear equations,h,True,2025-02-13 20:11:34
Advanced Math/Nonlinear functions,h,True,2025-02-13 20:11:50
Algebra/Linear equations in one variable,h,True,2025-02-13 20:12:02
Advanced Math/Nonlinear functions,h,True,2025-02-13 20:12:16
Problem-Solving and Data Analysis/Probability,h,True,2025-02-13 20:12:26
Geometry and Trigonometry/Circles,h,True,2025-02-13 20:12:31
Problem-Solving and Data Analysis/Percentages,h,True,2025-02-13 20:12:39
Algebra/Systems of two linear equations,h,True,2025-02-13 20:14:09
Algebra/Linear functions,h,False,2025-02-13 20:14:25
Geometry and Trigonometry/Circles,h,True,2025-02-13 20:14:38
Advanced Math/Nonlinear functions,h,False,2025-02-13 20:14:42
Craft and Structure/Text Structure and Purpose,h,False,2025-02-13 20:17:20
Information and Ideas/Central Ideas and Details,h,False,2025-02-13 20:17:51
Information and Ideas/Command of Evidence (Textual),h,False,2025-02-13 20:18:12
Information and Ideas/Inferences,h,False,2025-02-13 20:18:46
Expression of Ideas/Transitions,h,False,2025-02-13 20:18:58
Advanced Math/Nonlinear functions,h,False,2025-02-13 20:21:05
Algebra/Systems of two linear equations,h,False,2025-02-13 20:21:09
Geometry and Trigonometry/Circles,h,False,2025-02-13 20:21:13
Information and Ideas/Command of Evidence (Textual),h,False,2025-02-15 09:56:25
Information and Ideas/Command of Evidence (Textual),h,False,2025-02-19 10:15:14
Information and Ideas/Command of Evidence (Textual),h,True,2025-02-19 10:27:02
Information and Ideas/Command of Evidence (Textual),h,True,2025-02-19 10:35:29
Information and Ideas/Command of Evidence (Textual),h,True,2025-02-19 10:41:13
Information and Ideas/Command of Evidence (Textual),h,True,2025-02-19 10:55:56
Information and Ideas/Command of Evidence (Textual),h,True,2025-02-19 10:58:01
Information and Ideas/Command of Evidence (Textual),h,True,2025-02-19 11:00:50
Information and Ideas/Command of Evidence (Textual),h,True,2025-02-19 11:02:52
Information and Ideas/Command of Evidence (Textual),h,True,2025-02-19 11:06:16
Information and Ideas/Command of Evidence (Textual),h,False,2025-02-19 14:38:49
Information and Ideas/Command of Evidence (Textual),h,True,2025-02-19 14:45:10
Information and Ideas/Command of Evidence (Textual),h,True,2025-02-19 14:48:27
Information and Ideas/Command of Evidence (Textual),h,True,2025-02-19 14:50:11
Information and Ideas/Command of Evidence (Textual),h,True,2025-02-19 15:22:39
Information and Ideas/Command of Evidence (Textual),h,True,2025-02-19 15:27:21
Information and Ideas/Command of Evidence (Textual),h,True,2025-02-19 15:29:31
Expression of Ideas/Transitions,h,False,2025-02-22 07:58:46
Expression of Ideas/Transitions,h,True,2025-02-22 09:08:52
Expression of Ideas/Transitions,h,True,2025-02-22 09:15:33
Expression of Ideas/Transitions,h,True,2025-02-22 09:23:36
Expression of Ideas/Transitions,h,True,2025-02-22 09:24:16
Expression of Ideas/Transitions,h,True,2025-02-22 09:25:12
Expression of Ideas/Transitions,h,True,2025-02-22 09:26:14
Expression of Ideas/Transitions,h,True,2025-02-22 10:15:53
Expression of Ideas/Transitions,h,True,2025-02-22 11:48:40
Expression of Ideas/Transitions,h,True,2025-02-22 12:04:33
Expression of Ideas/Transitions,h,True,2025-02-22 12:05:13
Expression of Ideas/Transitions,h,True,2025-02-22 12:06:23
Expression of Ideas/Transitions,h,True,2025-02-22 12:22:06
Expression of Ideas/Transitions,h,True,2025-02-22 12:22:31
Expression of Ideas/Transitions,h,True,2025-02-22 12:23:16
Expression of Ideas/Transitions,h,True,2025-02-22 12:25:12
Expression of Ideas/Transitions,h,False,2025-02-22 12:25:48
Expression of Ideas/Transitions,h,True,2025-02-22 12:29:03
Information and Ideas/Inferences,h,True,2025-02-23 08:34:11
Information and Ideas/Inferences,h,True,2025-02-23 08:37:29
Information and Ideas/Inferences,h,True,2025-02-23 08:40:03
Information and Ideas/Inferences,h,True,2025-02-23 08:41:25
Information and Ideas/Inferences,h,True,2025-02-23 08:48:47
